Date,Day,Views,Reach,Interactions,Link Clicks,Profile Visits,Follows
8/19/2025,Tuesday,1466,246,24,0,22,0
8/20/2025,Wednesday,816,155,5,0,24,1
8/21/2025,Thursday,299,17,0,0,11,0
8/22/2025,Friday,1268,19,2,0,22,0
8/23/2025,Saturday,2072,135,1,32,59,5
8/24/2025,Sunday,2976,278,18,1,72,6
8/25/2025,Monday,13994,3019,175,0,215,15
8/26/2025,Tuesday,4298,843,9,0,98,8
8/27/2025,Wednesday,5452,1520,84,0,107,4
8/28/2025,Thursday,12855,2504,265,0,181,2
8/29/2025,Friday,7766,838,55,31,196,10
8/30/2025,Saturday,6045,1033,69,13,152,2
8/31/2025,Sunday,4904,1085,74,0,174,3
9/1/2025,Monday,2167,565,18,0,93,1
9/2/2025,Tuesday,1380,324,4,23,64,2
9/3/2025,Wednesday,8375,1131,106,11,132,2
9/4/2025,Thursday,8260,1584,159,1,134,2
9/5/2025,Friday,6461,1582,30,0,115,3
9/6/2025,Saturday,1695,216,7,4,50,3
9/7/2025,Sunday,1807,199,3,12,53,1
9/8/2025,Monday,707,72,2,3,43,1
9/9/2025,Tuesday,8105,1330,230,0,179,1
9/10/2025,Wednesday,2115,428,7,9,55,1
9/11/2025,Thursday,3181,1059,94,2,98,1
9/12/2025,Friday,2103,480,14,0,80,0
9/13/2025,Saturday,4485,1286,110,0,171,1
9/14/2025,Sunday,1264,359,3,0,65,3
9/15/2025,Monday,1527,206,2,4,51,1
9/16/2025,Tuesday,2881,355,56,2,110,0
9/17/2025,Wednesday,4232,822,61,0,124,1
9/18/2025,Thursday,5794,630,11,0,142,1
9/19/2025,Friday,2126,287,0,0,64,0
9/20/2025,Saturday,3789,280,6,0,67,0
9/21/2025,Sunday,2350,284,2,0,56,0
9/22/2025,Monday,1276,195,0,0,44,1
9/23/2025,Tuesday,1589,42,1,0,33,0
9/24/2025,Wednesday,565,22,2,0,23,0
9/25/2025,Thursday,1434,29,0,0,34,0
9/26/2025,Friday,1303,23,2,0,36,0
9/27/2025,Saturday,3534,296,88,0,82,0
9/28/2025,Sunday,1874,190,13,0,71,1
9/29/2025,Monday,1350,216,0,0,47,1
9/30/2025,Tuesday,598,41,3,0,29,0
10/1/2025,Wednesday,723,150,2,0,30,0
10/2/2025,Thursday,331,29,0,0,17,0
10/3/2025,Friday,522,25,0,0,27,1
10/4/2025,Saturday,3519,287,95,0,64,2
10/5/2025,Sunday,2516,191,15,0,68,0
10/6/2025,Monday,1865,208,6,0,67,0
10/7/2025,Tuesday,810,39,1,0,28,0
10/8/2025,Wednesday,981,32,2,0,25,0
10/9/2025,Thursday,1162,27,1,0,40,2
10/10/2025,Friday,1628,196,1,7,30,0
10/11/2025,Saturday,1478,131,1,3,37,1
10/12/2025,Sunday,1592,117,0,0,44,0
10/13/2025,Monday,1288,76,0,0,39,0
10/14/2025,Tuesday,1186,22,0,0,34,0
10/15/2025,Wednesday,609,165,1,7,20,1
10/16/2025,Thursday,354,24,0,0,16,0
10/17/2025,Friday,506,11,0,0,22,0
10/18/2025,Saturday,751,21,0,0,28,1
10/19/2025,Sunday,1407,199,38,0,40,0
10/20/2025,Monday,1784,131,19,0,44,0
10/21/2025,Tuesday,639,28,4,0,28,0
10/22/2025,Wednesday,907,22,2,0,33,0
10/23/2025,Thursday,373,11,0,0,15,0
10/24/2025,Friday,431,19,0,0,23,0
10/25/2025,Saturday,371,20,3,0,24,1
10/26/2025,Sunday,1170,145,1,0,38,0
10/27/2025,Monday,809,52,0,0,24,0
10/28/2025,Tuesday,1939,139,0,0,32,0
10/29/2025,Wednesday,523,28,0,0,21,0
10/30/2025,Thursday,706,15,1,0,21,0
10/31/2025,Friday,175,7,1,0,9,0
11/1/2025,Saturday,414,15,1,0,28,0
11/2/2025,Sunday,868,115,3,0,31,0
11/3/2025,Monday,1617,151,0,3,28,0
11/4/2025,Tuesday,539,25,1,0,26,0
11/5/2025,Wednesday,4814,1232,145,0,99,1
11/6/2025,Thursday,2382,746,21,0,65,0
11/7/2025,Friday,590,45,3,0,23,0
11/8/2025,Saturday,468,26,0,0,21,1
11/9/2025,Sunday,966,112,0,0,29,0
11/10/2025,Monday,344,53,0,0,16,0
11/11/2025,Tuesday,918,18,0,0,26,2
11/12/2025,Wednesday,338,19,0,0,21,0
11/13/2025,Thursday,696,13,2,0,24,0
11/14/2025,Friday,560,8,0,0,16,1
11/15/2025,Saturday,6198,1155,116,0,108,0
11/16/2025,Sunday,2477,599,8,0,61,0
11/17/2025,Monday,532,39,0,0,22,0
11/18/2025,Tuesday,588,20,0,0,28,0
11/19/2025,Wednesday,317,22,0,0,16,0
11/20/2025,Thursday,258,16,0,0,14,1
11/21/2025,Friday,212,13,1,0,8,0
11/22/2025,Saturday,2220,166,0,0,65,0
11/23/2025,Sunday,1422,108,0,0,54,2
11/24/2025,Monday,3958,1083,92,0,101,0
11/25/2025,Tuesday,901,314,3,0,34,0
11/26/2025,Wednesday,542,61,1,0,25,0
11/27/2025,Thursday,611,130,0,0,25,0
11/28/2025,Friday,1602,28,0,0,19,1
11/29/2025,Saturday,653,20,1,0,20,0
11/30/2025,Sunday,1160,60,0,1,21,1
12/1/2025,Monday,1104,116,0,9,20,0
12/2/2025,Tuesday,287,11,0,0,21,0
12/3/2025,Wednesday,143,11,1,0,16,1
12/4/2025,Thursday,397,15,0,0,13,0
12/5/2025,Friday,224,16,0,0,17,0
12/6/2025,Saturday,455,156,1,0,24,0
12/7/2025,Sunday,337,58,0,0,23,0
12/8/2025,Monday,648,119,0,0,26,0
12/9/2025,Tuesday,2517,959,78,0,69,0
